0,RMSE005865_TO0324_PNI-17476_000001,"Histoire de l'astronomie moderne; par M. Delambre, chevalier de Saint-Michel...etc., etc. Tome premier [-second] Vol. 1","Delambre, Jean Baptiste Joseph","Paris : chez Courcier, ..., rue du Jardinet-Saint-Andre-des Arcs, n. ",1821,"* | Copertina | 1
* | Occhietto : Histoire de l'astronomie moderne | 5
* | Frontespizio | 7
* | Discours préliminaire | 9
* | Errata corrige | 57
* | Table des matières contenues dans cet ouvrage | 70
* | Histoire de l'astronomie moderne ... | 87
* | Illustrazioni | 803
* | Copertina | 823
"
1,UFIE003454_TO0324_PNI-2529_000000,"Methodus incrementorum directa & inversa. Auctore Brook Taylor ...","Taylor, Brook","Londini : Typis Pearsonianis prostant apud Gul. Innys ad Insignia Principis in Coemeterio Paulino",1715,"* | Copertina | 1
* | Frontespizio | 7
* | Dedica : Illustrissime societati regali, a serenissimo rege Carolo II. Ad philosophiam promovendam fundatae et auspiciis augustissimi regis Georgii Florenti, tractatum hunc d.d.d. Brook Taylor | 9
* | Lectori | 11
* | Methodus incrementorum | 13
* | Copertina | 135
"
2,TO01083579_TO0324_PRE-15685_000002,"Der Geist in der Natur / Deutsch von K.L. Kannegiesser Vol.2","Oersted, Hans Christian","Leipzig : Lorck",1854,"* | Copertina | 1
* | Occhietto : Carl B. Worck's Hausbibliothek | 7
* | Frontespizio | 10
* | Frontespizio | 11
* | Inhalt | 13
* | Occhietto : H. C. Dersted der Geist in der Natur | 25
* | Der Geist in der Natur | 27
* | Verlag von Carl B. Worck in Leipzig | 317
* | Copertina | 323
"
3,TO01083579_TO0324_PRE-15685_000001,"Der Geist in der Natur / Deutsch von K.L. Kannegiesser Vol.1","Oersted, Hans Christian","Leipzig : Lorck",1854,"* | Copertina | 1
* | Occhietto : Karl B. Work's Hausbibliothek | 7
* | Frontespizio | 10
* | Ritratto dell'Autore | 12
* | Frontespizio | 13
* | Hans Christian Dersted | 15
* | Inhalt | 31
* | Occhietto : H. C. Dersted. Der Geist in der Natur | 47
* | Gesprrache uber das Schone | 49
* | Carl's B. Lorck's hausbibliothek ... | 397
* | Copertina | 405
"
4,TO00961792_TO0324_62184_000000,"Passages from the life of a philosopher / by Charles Babbage","Babbage, Charles","London : Longman Green Longmann Roberts & Green",1864,"* | Copertina | 1
* | Occhietto: Passages from the life of a philosopher | 5
* | Illustrazione | 8
* | Frontespizio | 9
* | Dedica: To Victor Emmanuel II, King of Italy | 11
* | Preface | 13
* | Contents | 15
* | Passages from the life of a philosopher | 19
* | Appendix | 505
* | List of Mr. Babbage's printed papers | 511
* | Copertina | 517
"
5,RMSE005879_TO0324_PNI-20759_000000,"Histoire de l' astronomie du moyen age; par M. Delambre, chevalier de Saint-Michel...etc., etc","Delambre, Jean Baptiste Joseph","Paris : m.me v.e Courcier, ...",1819,"* | Copertina | 1
* | Occhietto: Histoire de l'astronomie du moyen age | 5
* | Frontespizio | 7
* | Discours préliminaire | 9
* | Note sur le discours préliminaire | 56
* | Errata corrige | 67
* | Table des matierès | 79
* | Table des chapitres | 87
* | Histoire de l'astronomie du moyen age ... | 89
* | Illustrazione | 729
* | Copertina | 765
"
6,RMSE005856_TO0324_PNI-20760_000001,"Histoire de l'astronomie ancienne; par M. Delambre, chevalier de Saint-Michel...etc., etc. Tome premier [-second] Vol. 1","Delambre, Jean Baptiste Joseph","Paris : m.me v.e Courcier, imprimeur-libraire pour les sciences",1817,"* | Copertina | 1
* | Occhietto : Histoire de l'astronomie ancienne | 5
* | Frontespizio | 7
* | Discours préliminaire | 9
* | Errata corrige | 44
* | Table des matières contenues dans cet ouvrage | 57
* | Table des chapitres | 75
* | Histoire de l'astronomie ancienne ... | 77
* | Illustrazione | 633
* | Copertina | 637
"
7,RMLE015652_TO0324_PNI-20761_000002,"Histoire de l'astronomie ancienne; par M. Delambre, chevalier de Saint-Michel...etc., etc. Tome premier [-second] Vol. 2","Delambre, Jean Baptiste Joseph","Paris : m.me v.e Courcier, imprimeur-libraire pour les sciences",1817,"* | Copertina | 1
* | Occhietto : Histoire de l'astronomie ancienne | 5
* | Frontespizio | 7
* | Indice | 9
* | Errata corrige | 11
* | Histoire de l'astronomie ancienne ... | 13
* | Errata corrige | 654
* | Illustrazioni | 655
* | Copertina | 689
"
8,TO01170451_TO0324_66879_000000,"Supplement to Dr. Bradley 's Miscellaneous Works, with an account of Harriot Astronomical Papers","Bradley, W. James","70 p., 5 c. di tav",1833,"* | Copertina | 1
* | Frontespizio | 5
* | Advertisement | 6
* | Analysis of calculations made by Bradley when investigating a rule for refraction  | 7
* | Account of harriots astronomical papers | 21
* | Notes | 57
* | Carte manoscritte | 75
"
9,TO01170488_TO0324_66898_000000,"Miscellaneous Works and Correspondence / James Bradley","Bradley, James","Oxford : at the University Press",1832,"* | Copertina | 1
* | Occhietto : Miscellaneous Works and Correspondence ... | 5
* | Ritratto dell'Autore | 8
* | Frontespizio | 9
* | Preface | 11
* | Contents | 17
* | Miscellaneous Works ... | 19
* | Occhietto : Miscellaneous Papers and Observations ... | 219
* | Miscellaneous Papers ... | 221
* | Appendix | 641
* | Errata corrige | 653
* | Index | 655
* | Tavole | 659
* | Frontespizio | 669
* | Advertisement | 670
* | Supplement to Dr. Bradley's Miscellaneous ... | 671
* | Notes | 721
* | Carte manoscritte | 739
* | Copertina | 751
"
10,RMSE005866_TO0324_PNI-17477_000002,"Histoire de l'astronomie moderne; par M. Delambre, chevalier de Saint-Michel...etc., etc. Tome premier [-second] Vol. 2","Delambre, Jean Baptiste Joseph","Paris : chez Courcier, ..., rue du Jardinet-Saint-Andre-des Arcs, n. ",1821,"* | Copertina | 1
* | Occhietto: Histoire de l'astronomie moderne | 5
* | Frontespizio | 7
* | Histoire de l'astronomie moderne ... | 9
* | Illustrazione | 813
* | Copertina | 831
"
11,TO0E041735_TO0324_PNI-2727_000000,"La scuola della economia e della morale, ossia Avvertimenti a tutti quelli che desiderano essere ricchi, sani e virtuosi. Opuscoli di Beniamino Franklin","Franklin, Benjamin","Pavia : nella stamperia di V. Fusi e Comp.",1825,"* | Copertina | 1
* | Occhietto: Opuscoli di Beniamino Franklin | 3
* | Ritratto dell'Autore | 6
* | Frontespizio | 7
* | Ai leggitori. Il traduttore A. M. | 9
* | La scuola della Economia ... | 17
* | Indice | 100
* | Copertina | 101
"
12,TO00176561_TO0324_600_000001,"Antologia italiana : giornale di scienze, lettere ed arti Anno I Tomo I","nan","Torino : G. Pomba",1846,"* | Copertina | 1
* | Frontespizio | 5
* | Copyright | 6
* | Ragione dell'Opera | 7
* | Antologia Italiana ... | 9
* | Indice degli articoli contenuti nel presente volume | 771
* | Copertina | 775
"
13,TO00180746_TO0324_1391_000010,"Calendario georgico della Societa agraria di Torino per l'anno ... : all'istruzione degli agricoltori piemontesi Volume X","nan","Torino : dalla Stamperia dipartimentale",1807,"* | Frontespizio | 1
* | Avviso | 3
* | Calendario Georgico ... | 4
* | Indice | 118
* | Imprimatur | 120
